start_time,end_time,duration_minutes,cluster,top_variables,severity
2019-08-08 16:30:00,2019-08-08 16:35:00,5.0,State_76,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft",4.323269437563244
2019-05-08 05:30:00,2019-05-08 05:45:00,15.0,State_103,"Cyclone_Outlet_Gas_draft, Cyclone_cone_draft, Cyclone_Inlet_Draft",4.26299579589919
2019-12-23 13:40:00,2019-12-23 13:50:00,10.0,State_90,"Cyclone_Inlet_Draft, Cyclone_cone_draft, Cyclone_Outlet_Gas_draft",4.24216704762086
2020-04-15 11:45:00,2020-04-15 11:45:00,0.0,State_99,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp",4.220112380367979
2020-04-16 21:55:00,2020-04-16 22:15:00,20.0,State_99,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp",4.187403395902065
2018-09-02 18:15:00,2018-09-02 18:15:00,0.0,State_27,"Cyclone_cone_draft, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",4.163676689750787
2017-12-05 04:55:00,2017-12-05 05:00:00,5.0,State_92,"Cyclone_cone_draft, Cyclone_Outlet_Gas_draft, Cyclone_Material_Temp",4.136668155382301
2018-08-31 18:30:00,2018-08-31 18:30:00,0.0,State_100,"Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp",4.134237933220453
2017-10-17 22:00:00,2017-10-17 22:00:00,0.0,State_52,"Cyclone_cone_draft, Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft",4.081115656383595
2018-07-06 10:45:00,2018-07-06 10:45:00,0.0,State_66,"Cyclone_Outlet_Gas_draft, Cyclone_cone_draft, Cyclone_Inlet_Draft",4.035224031614168
2019-05-08 16:30:00,2019-05-08 20:05:00,215.0,State_103,"Cyclone_Material_Temp, Cyclone_Inlet_Draft, Cyclone_Gas_Outlet_Temp",4.023749608699687
2020-04-18 03:40:00,2020-04-18 03:40:00,0.0,State_99,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp",3.958440504640662
2019-09-27 11:25:00,2019-09-27 11:30:00,5.0,State_41,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft, Cyclone_cone_draft",3.928461961751094
2019-05-07 13:35:00,2019-05-07 13:35:00,0.0,State_50,"Cyclone_cone_draft, Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp",3.899592295205849
2019-11-30 22:05:00,2019-11-30 22:05:00,0.0,State_62,"Cyclone_cone_draft, Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft",3.8627562613265813
2019-05-08 04:45:00,2019-05-08 05:10:00,25.0,State_103,"Cyclone_Outlet_Gas_draft, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.8554205846221206
2020-04-19 00:20:00,2020-04-19 00:25:00,5.0,State_99,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_Material_Temp",3.79489558231109
2019-02-05 23:55:00,2019-02-05 23:55:00,0.0,State_127,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp",3.792542990013057
2020-04-19 02:40:00,2020-04-19 02:45:00,5.0,State_99,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp",3.762186597845175
2019-05-06 17:55:00,2019-05-06 17:55:00,0.0,State_47,"Cyclone_Outlet_Gas_draft, Cyclone_cone_draft, Cyclone_Inlet_Draft",3.761500050403453
