start,end,duration_hours
2017-01-20 18:45:00,2017-01-20 21:15:00,2.5
2017-01-20 21:25:00,2017-01-20 21:55:00,0.5
2017-01-20 22:05:00,2017-01-21 00:15:00,2.1666666666666665
2017-01-21 03:00:00,2017-01-21 03:40:00,0.6666666666666666
2017-01-21 06:10:00,2017-01-21 06:50:00,0.6666666666666666
2017-01-21 08:50:00,2017-01-21 10:15:00,1.4166666666666667
2017-01-21 10:55:00,2017-01-21 12:35:00,1.6666666666666667
2017-01-21 12:45:00,2017-01-21 13:40:00,0.9166666666666666
2017-01-21 14:00:00,2017-01-21 14:30:00,0.5
2017-01-21 19:30:00,2017-01-21 20:25:00,0.9166666666666666
2017-01-21 21:20:00,2017-01-22 01:15:00,3.9166666666666665
2017-01-22 03:10:00,2017-01-22 03:50:00,0.6666666666666666
2017-01-22 06:30:00,2017-01-22 07:20:00,0.8333333333333334
2017-01-22 08:55:00,2017-01-22 09:30:00,0.5833333333333334
2017-01-22 10:40:00,2017-01-22 12:00:00,1.3333333333333333
2017-01-22 13:00:00,2017-01-22 15:20:00,2.3333333333333335
2017-01-22 17:15:00,2017-01-22 17:50:00,0.5833333333333334
2017-01-22 22:10:00,2017-01-22 23:00:00,0.8333333333333334
2017-01-23 12:10:00,2017-01-23 13:00:00,0.8333333333333334
2017-01-25 18:55:00,2017-01-25 19:25:00,0.5
2017-01-26 18:30:00,2017-01-26 19:05:00,0.5833333333333334
2017-01-28 19:25:00,2017-01-28 19:55:00,0.5
2017-01-28 20:55:00,2017-01-29 00:35:00,3.6666666666666665
2017-01-29 00:45:00,2017-01-29 02:35:00,1.8333333333333333
2017-01-29 02:50:00,2017-01-29 03:20:00,0.5
2017-01-29 07:05:00,2017-01-29 08:00:00,0.9166666666666666
2017-01-29 08:55:00,2017-01-29 09:25:00,0.5
2017-01-29 10:05:00,2017-01-29 11:15:00,1.1666666666666667
2017-01-29 11:35:00,2017-01-29 12:10:00,0.5833333333333334
2017-01-29 12:20:00,2017-01-29 12:55:00,0.5833333333333334
2017-01-29 22:15:00,2017-01-29 22:45:00,0.5
2017-01-30 08:35:00,2017-01-30 09:40:00,1.0833333333333333
2017-01-30 11:00:00,2017-01-30 11:30:00,0.5
2017-01-30 11:40:00,2017-01-30 12:40:00,1.0
2017-02-02 11:00:00,2017-02-02 11:40:00,0.6666666666666666
2017-02-02 16:05:00,2017-02-02 16:45:00,0.6666666666666666
2017-02-06 05:45:00,2017-02-06 06:50:00,1.0833333333333333
2017-02-06 08:55:00,2017-02-06 09:25:00,0.5
2017-02-06 10:45:00,2017-02-06 13:00:00,2.25
2017-02-06 16:40:00,2017-02-06 17:25:00,0.75
2017-02-06 20:25:00,2017-02-06 21:15:00,0.8333333333333334
2017-02-06 21:50:00,2017-02-06 22:30:00,0.6666666666666666
2017-02-07 17:20:00,2017-02-07 19:15:00,1.9166666666666667
2017-02-07 20:20:00,2017-02-07 20:50:00,0.5
2017-02-07 23:05:00,2017-02-07 23:50:00,0.75
2017-02-08 00:00:00,2017-02-08 03:10:00,3.1666666666666665
2017-02-11 00:45:00,2017-02-11 01:15:00,0.5
2017-02-11 02:15:00,2017-02-11 03:30:00,1.25
2017-02-12 08:55:00,2017-02-12 09:30:00,0.5833333333333334
2017-02-16 01:35:00,2017-02-16 02:05:00,0.5
